CartID,UserID,SessionID,CurrencyID,CreatedDate,ModifiedDate
1,101,,1,2023-10-01T10:15:30,2023-10-02T12:00:00
2,,session_abc123,2,2023-10-01T11:20:45,
3,102,,3,2023-10-02T09:30:00,2023-10-03T14:25:00
4,,session_def456,4,2023-10-02T14:45:15,2023-10-02T16:00:00
5,103,,5,2023-10-03T08:10:20,
6,,session_ghi789,6,2023-10-03T10:00:00,2023-10-04T09:00:00
7,104,,7,2023-10-04T07:45:30,2023-10-05T11:30:00
8,,session_jkl012,8,2023-10-04T12:15:00,
9,105,,1,2023-10-05T09:30:45,2023-10-06T10:00:00
10,,session_mno345,2,2023-10-05T14:00:00,2023-10-06T15:30:00
