SearchID,UserID,SessionID,SearchTerm,ResultCount,SearchDate
1,101,,laptop deals,150,2023-10-01T10:15:00
2,,sess_abc123,best smartphones 2023,320,2023-10-01T11:00:00
3,102,,python tutorials,45,2023-10-01T11:30:00
4,,sess_def456,local coffee shops,25,2023-10-01T12:00:00
5,103,,weather forecast,10,2023-10-01T12:30:00
6,104,,how to bake bread,60,2023-10-01T13:00:00
7,,sess_ghi789,car reviews 2023,200,2023-10-01T13:30:00
8,105,,yoga classes near me,18,2023-10-01T14:00:00
9,,sess_jkl012,movie showtimes,8,2023-10-01T14:30:00
10,106,,online courses,75,2023-10-01T15:00:00
